,Vendor,Model,Current_Price,Time,Date
0,APC,Back-UPS,13775,09.08.2022,15:35:44
1,APC,BR900MI,21388,09.08.2022,15:35:44
2,APC,BVX1600LI-GR,11992,09.08.2022,15:35:44
3,APC,BVX900LI-GR,8565,09.08.2022,15:35:44
4,APC,BX1600MI,19651,09.08.2022,15:35:44
5,APC,BX500CI,6614,09.08.2022,15:35:44
6,APC,BX750MI,10543,09.08.2022,15:35:44
7,APC,BX750MI-GR,11168,09.08.2022,15:35:44
8,APC,BX950MI,14016,09.08.2022,15:35:44
9,APC,SC620I,27796,09.08.2022,15:35:44
10,APC,SMC2000I,73415,09.08.2022,15:35:44
11,APC,SMC3000I,123463,09.08.2022,15:35:44
12,APC,SMC3000RMI2U,156823,09.08.2022,15:35:44
13,APC,SMT1000I,58652,09.08.2022,15:35:44
14,APC,SMT1500I,83500,09.08.2022,15:35:44
15,APC,SMT3000RMI2U,241686,09.08.2022,15:35:44
16,APC,SMX1500RMI2U,118865,09.08.2022,15:35:44
17,APC,SRT1000RMXLI,126885,09.08.2022,15:35:44
18,APC,SRT1000XLI,79355,09.08.2022,15:35:44
19,CyberPower,BR1200ELCD,14418,09.08.2022,15:35:44
20,CyberPower,BR700ELCD,8503,09.08.2022,15:35:44
21,CyberPower,CP900EPFCLCD,13905,09.08.2022,15:35:44
22,CyberPower,OL1000ERTXL2U,91937,09.08.2022,15:35:44
23,CyberPower,OL1500ERTXL2U,98194,09.08.2022,15:35:44
24,CyberPower,OLS1000ERT2UA,47738,09.08.2022,15:35:44
25,CyberPower,OLS2000EC,36161,09.08.2022,15:35:44
26,CyberPower,OLS6000EC,136611,09.08.2022,15:35:44
27,CyberPower,OR1000ELCDRM1U,31304,09.08.2022,15:35:44
28,CyberPower,PLT1000ELCDRT2U,29997,09.08.2022,15:35:44
29,CyberPower,PLT2000ELCDRT2U,40989,09.08.2022,15:35:44
30,CyberPower,PLT3000ELCDRT2U,51202,09.08.2022,15:35:44
31,CyberPower,PR1000ERTXL2U,70069,09.08.2022,15:35:44
32,CyberPower,PR2200ERTXL2U,88638,09.08.2022,15:35:44
33,CyberPower,PR2200ERTXL2UA,118401,09.08.2022,15:35:44
34,CyberPower,PR750ELCD,35949,09.08.2022,15:35:44
35,CyberPower,UTC850EI,4218,09.08.2022,15:35:44
36,CyberPower,VP1000EILCD,8580,09.08.2022,15:35:44
37,CyberPower,VP1200EILCD,14979,09.08.2022,15:35:44
38,CyberPower,VP1200ELCD,16273,09.08.2022,15:35:44
39,CyberPower,VP1600EILCD,16732,09.08.2022,15:35:44
40,DKC,INFO1200S,9048,09.08.2022,15:35:44
41,DKC,INFO600S,4506,09.08.2022,15:35:44
42,DKC,INFO650SI,3277,09.08.2022,15:35:44
43,DKC,INFO800S,5653,09.08.2022,15:35:44
44,DKC,INFOLCD1200I,10414,09.08.2022,15:35:44
45,DKC,INFOLCD1500I,13166,09.08.2022,15:35:44
46,DKC,INFOLCD1500S,13166,09.08.2022,15:35:44
47,DKC,INFOLCD2000SI,16945,09.08.2022,15:35:44
48,DKC,INFOLCD600I,5371,09.08.2022,15:35:44
49,DKC,INFOLCD800I,7024,09.08.2022,15:35:44
50,DKC,INFOPDU600,6396,09.08.2022,15:35:44
51,DKC,INFOPDU800,7150,09.08.2022,15:35:44
52,DKC,INFORPRO1000I,26561,09.08.2022,15:35:44
53,DKC,INFORPRO3000I,51909,09.08.2022,15:35:44
54,DKC,SMALLT3A0PS,44246,09.08.2022,15:35:44
55,Eaton,9E 1000I,26636,09.08.2022,15:35:44
56,Eaton,9SX1000I,37456,09.08.2022,15:35:44
57,Eaton,9SX1000IR,62081,09.08.2022,15:35:44
58,Eaton,9SX2000I,71313,09.08.2022,15:35:44
59,Eaton,9SX2000IR,109120,09.08.2022,15:35:44
60,Eaton,9SX3000I,109245,09.08.2022,15:35:44
61,Eaton,9SX3000IR,140332,09.08.2022,15:35:44
62,Ippon,Back Basic 1050,5090,09.08.2022,15:35:44
63,Ippon,Back Basic 850,3095,09.08.2022,15:35:44
64,Ippon,Back Basic 850S Euro,3915,09.08.2022,15:35:44
65,Ippon,Back Comfo Pro II 1050,10771,09.08.2022,15:35:44
66,Ippon,Back Office 400,2581,09.08.2022,15:35:44
67,Ippon,Back Verso 400,3625,09.08.2022,15:35:44
68,Ippon,Back Verso 600,3955,09.08.2022,15:35:44
69,Ippon,Back Verso 800,4943,09.08.2022,15:35:44
70,Ippon,Innova G2 1000,16381,09.08.2022,15:35:44
71,Ippon,Innova G2 2000,34190,09.08.2022,15:35:44
72,Ippon,Innova RT 1500,43990,09.08.2022,15:35:44
73,Ippon,Innova RT 2000,44620,09.08.2022,15:35:44
74,Ippon,Innova RT 3000,71990,09.08.2022,15:35:44
75,Ippon,Innova RT II 2000,45640,09.08.2022,15:35:44
76,Ippon,Smart Power Pro II 1200 Euro,11590,09.08.2022,15:35:44
77,Ippon,Smart Winner II 1000,22601,09.08.2022,15:35:44
78,Ippon,Smart Winner II 1500 Euro,28336,09.08.2022,15:35:44
79,Ippon,Smart Winner II 1550 1U,37730,09.08.2022,15:35:44
80,Ippon,Smart Winner II 3000,46912,09.08.2022,15:35:44
81,Powercom,IMP-2000AP,13595,09.08.2022,15:35:44
82,Powercom,KIN-1200AP LCD,19970,09.08.2022,15:35:44
83,Powercom,KIN-1500AP LCD,22456,09.08.2022,15:35:44
84,Powercom,MAC-3000,34889,09.08.2022,15:35:44
85,Powercom,Macan MRT-3000SE,44333,09.08.2022,15:35:44
86,Powercom,RPT-1000A,3998,09.08.2022,15:35:44
87,Powercom,RPT-1000AP,4731,09.08.2022,15:35:44
88,Powercom,RPT-1000A EURO,4467,09.08.2022,15:35:44
89,Powercom,RPT-2000AP-LCD,11625,09.08.2022,15:35:44
90,Powercom,RPT-600A,2690,09.08.2022,15:35:44
91,Powercom,RPT-600AP,3460,09.08.2022,15:35:44
92,Powercom,RPT-800A EURO,3572,09.08.2022,15:35:44
93,Powercom,SPD-1000N,5542,09.08.2022,15:35:44
94,Powercom,SPD-1000N,5217,09.08.2022,15:35:44
95,Powercom,SPD-450N,3478,09.08.2022,15:35:44
96,Powercom,SPD-650N,4208,09.08.2022,15:35:44
97,Powercom,SPD-850N,5059,09.08.2022,15:35:44
98,Powercom,SPD-900U LCD,6933,09.08.2022,15:35:44
99,Powercom,SPD-900U LCD USB,7143,09.08.2022,15:35:44
100,Powercom,SPR-2000 LCD,27190,09.08.2022,15:35:44
101,Powercom,SPT-1500-II-LCD,15198,09.08.2022,15:35:44
102,Powercom,WOW-1000U,6509,09.08.2022,15:35:44
103,Powercom,WOW-300,3054,09.08.2022,15:35:44
104,Powercom,WOW-500U,4094,09.08.2022,15:35:44
105,Powercom,WOW-700U,4544,09.08.2022,15:35:44
106,Sven,Pro 1500,7677,09.08.2022,15:35:44
107,Sven,Pro 400,2895,09.08.2022,15:35:44
108,Sven,Pro 600,3542,09.08.2022,15:35:44
109,Sven,Pro 650,3740,09.08.2022,15:35:44
110,Sven,Pro 800,3921,09.08.2022,15:35:44
111,Sven,RT-1000,10654,09.08.2022,15:35:44
112,Sven,RT-500,7155,09.08.2022,15:35:44
113,Sven,UP-L1000E,4682,09.08.2022,15:35:44
114,APC,SC420I,16578,09.08.2022,15:35:44
115,APC,SMC2000I-2U,135948,09.08.2022,15:35:44
116,APC,SMT1500RMI1U,119140,09.08.2022,15:35:44
117,APC,SMT2200RMI2U,186705,09.08.2022,15:35:44
118,APC,SMT750RMI2UNC,103926,09.08.2022,15:35:44
119,APC,SMX3000HV,181849,09.08.2022,15:35:44
120,APC,SMX3000RMHV2UNC,247552,09.08.2022,15:35:44
121,APC,SMX750I,81689,09.08.2022,15:35:44
122,APC,SMX750INC,89111,09.08.2022,15:35:44
123,APC,SRT1000UXI-LI+XBP48RM1U-LI,195121,09.08.2022,15:35:44
124,APC,SRT2200XLI,193349,09.08.2022,15:35:44
